t0,x,y,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,mu,sysno,imno,mag,x0,x1,c,twinkles_sysno,bulge_magnorm,r_eff,lens_sed,t_start
2.273,-0.0005,0.0549,123.383180743,0.0315154588394,0.210924286973,299.87428817,273.220951285,0.358778619069,0.238224046907,0.00990595299316,-0.0872172932631,-19.5814937596,-0.7877,11715,1,21.8587777811,2.97992086007e-05,0.0,0.0,1307,20.1155796051,0.801122845909,Inst.25E09.02Z.spec,60242.2726637
0.916,-0.0382,0.4325,195.884209925,0.123157725646,0.373919662575,0.38741628973,269.651974963,0.90053020546,0.500989239809,0.00209404794611,-2.59498960959e-05,-19.1611328265,-11.7636,11802,0,22.1832384405,2.14667576986e-06,0.0,0.0,1308,20.8554496765,0.564838141805,Inst.32E09.04Z.spec,60396.3608862
0.0,0.3977,0.0311,195.884209925,0.123157725646,0.373919662575,0.38741628973,269.651974963,0.90053020546,0.500989239809,0.00209404794611,-2.59498960959e-05,-19.1611328265,20.5932,11802,1,21.5752794689,2.14667576986e-06,0.0,0.0,1308,20.8554496765,0.564838141805,Inst.32E09.04Z.spec,60395.4448862
0.902,-0.0044,-0.4349,195.884209925,0.123157725646,0.373919662575,0.38741628973,269.651974963,0.90053020546,0.500989239809,0.00209404794611,-2.59498960959e-05,-19.1611328265,-11.676,11802,2,22.1913538465,2.14667576986e-06,0.0,0.0,1308,20.8554496765,0.564838141805,Inst.32E09.04Z.spec,60396.3468862
0.238,-0.3934,-0.0393,195.884209925,0.123157725646,0.373919662575,0.38741628973,269.651974963,0.90053020546,0.500989239809,0.00209404794611,-2.59498960959e-05,-19.1611328265,24.9983,11802,3,21.3648128732,2.14667576986e-06,0.0,0.0,1308,20.8554496765,0.564838141805,Inst.32E09.04Z.spec,60395.6828862
0.0,-1.1236,-1.1705,300.643966086,0.0157497368648,0.323951901826,204.348577393,242.161871717,0.718910516501,0.310201843772,-0.0692692153793,-0.211805022195,-19.3860134598,3.3591,11831,0,22.3809685489,4.62413833259e-06,0.0,0.0,1309,18.4018497467,1.70197604162,Burst.62E09.04Z.spec,60278.5521741
50.184,-0.1938,1.05,300.643966086,0.0157497368648,0.323951901826,204.348577393,242.161871717,0.718910516501,0.310201843772,-0.0692692153793,-0.211805022195,-19.3860134598,-2.0708,11831,1,22.9061804904,4.62413833259e-06,0.0,0.0,1309,18.4018497467,1.70197604162,Burst.62E09.04Z.spec,60328.7361741
0.0,0.1822,0.0483,97.7198844508,0.0681825936704,0.266889732062,356.549142539,209.404008526,0.557266681766,0.268550318459,0.0389832495507,0.0116229955367,-19.140342406,2.3918,11891,0,22.1044512669,6.8984594971e-06,0.0,0.0,1311,19.4374198914,1.46168918634,Inst.25E09.02Z.spec,60116.3316678
0.776,-0.0782,-0.0637,97.7198844508,0.0681825936704,0.266889732062,356.549142539,209.404008526,0.557266681766,0.268550318459,0.0389832495507,0.0116229955367,-19.140342406,-5.3702,11891,1,21.2262872701,6.8984594971e-06,0.0,0.0,1311,19.4374198914,1.46168918634,Inst.25E09.02Z.spec,60117.1076678
0.0,0.2877,-1.4209,235.956354661,0.0331760724691,0.51358401747,103.973448519,76.8799666612,0.542853591893,0.270674878927,0.145910211839,-0.600062691407,-19.1903791719,1.5426,11925,0,22.4600954679,7.70032963944e-06,0.0,0.0,1312,18.2389392853,0.920584985853,Burst.32E09.02Z.spec,60168.6454371
68.387,-0.0463,0.1818,235.956354661,0.0331760724691,0.51358401747,103.973448519,76.8799666612,0.542853591893,0.270674878927,0.145910211839,-0.600062691407,-19.1903791719,-0.5825,11925,1,23.5174889612,7.70032963944e-06,0.0,0.0,1312,18.2389392853,0.920584985853,Burst.32E09.02Z.spec,60237.0324371
0.0,0.619,0.3203,232.974755981,0.104172856659,0.147548568592,21.39115663,39.6344091449,0.97044779898,0.577556087819,0.0906468838375,0.0191946240309,-19.2074897566,2.8248,11959,0,24.1055226571,1.85852154584e-06,0.0,0.0,1313,18.9545402527,1.06771201203,Inst.20E09.02Z.spec,60111.1382816
22.529,-0.3749,0.1975,232.974755981,0.104172856659,0.147548568592,21.39115663,39.6344091449,0.97044779898,0.577556087819,0.0906468838375,0.0191946240309,-19.2074897566,-2.7964,11959,1,24.1164936849,1.85852154584e-06,0.0,0.0,1313,18.9545402527,1.06771201203,Inst.20E09.02Z.spec,60133.6672816
