id,ra,dec,mag_norm,redshift,twinkles_id,image_num,lens_gal_id
44005399925788,53.3230188,-27.5185029,23.1528071,2.98,841,1,4400539674
44132056678428,53.0679119,-27.4822557,23.918165,2.88,400,0,4413205530
44132056679452,53.067534,-27.4826287,23.3983796,2.88,400,1,4413205530
44593419374620,53.0868404,-27.3976962,22.733655,1.55,277,0,4459341850
44593419375644,53.0873547,-27.3975201,23.1945673,1.55,277,1,4459341850
44593419376668,53.0868329,-27.3971768,23.8967589,1.55,277,2,4459341850
44593419377692,53.0874126,-27.3970964,22.7017742,1.55,277,3,4459341850
45146074071068,53.0012403,-27.3003255,23.9740051,4.13,740,0,4514607130
45146074072092,53.0010631,-27.3006111,22.8675216,4.13,740,1,4514607130
45850553671708,52.7622273,-27.4796801,20.3705556,1.25,330,0,4585055258
45850553672732,52.7621005,-27.479339,20.9635387,1.25,330,1,4585055258
47790284922908,53.003782,-27.6536293,20.4398163,1.11,30,0,4779028506
47790284923932,53.0037175,-27.6534317,21.2305226,1.11,30,1,4779028506
47807601397788,53.24575,-27.4597922,20.8013097,1.76,185,0,4780760090
47807601398812,53.2456913,-27.4593836,22.0652527,1.76,185,1,4780760090
49406668812316,52.7896307,-27.403878,21.7131276,1.89,3,0,4940666906
49406668813340,52.7892061,-27.4035545,21.5920263,1.89,3,1,4940666906
49492941434908,52.8094822,-27.6646693,23.5036335,0.86,155,0,4949294106
49492941435932,52.8087956,-27.6645832,23.0003455,0.86,155,1,4949294106
49492941436956,52.8093595,-27.6641888,21.2159533,0.86,155,2,4949294106
49492941437980,52.8094615,-27.664226,21.0813754,0.86,155,3,4949294106
50908621512732,53.0985004,-27.6242029,23.6314313,1.64,174,0,5090862106
50908621513756,53.0980287,-27.6242919,23.1892393,1.64,174,1,5090862106
51454915465244,53.3363719,-27.5094984,19.9802268,1.69,221,0,5145491482
51454915466268,53.3364299,-27.5092471,22.2257737,1.69,221,1,5145491482
51454966525980,52.8961664,-27.1652463,19.1285339,2.26,187,0,5145496602
51454966527004,52.8960024,-27.1649161,20.6719194,2.26,187,1,5145496602
