obsHistIDs, filter_index, moonAlt, moonPhase, rotSkyPos, altitude, vSkyBright, filtSkyBrightness, rawSeeing, airmass, dist2Moon, sunAlt, field, ra, dec, randomDitherFieldPerVisitRA, randomDitherFieldPerVisitDec
1456546,2,-35.7032920458,10.070503,256.350370275,86.084158521,21.58495,21.30495,0.593176,1.00234,125.052737041,-30.2907316425,1323,93.1078762442,-29.9663229389,92.8465026814,-29.9501655291
1456556,2,-35.9967037327,10.109846,249.537271837,86.4670662155,21.585332,21.305332,0.593176,1.001904,126.210856633,-29.0530282135,1333,96.2172036068,-29.4075744971,95.4495977038,-30.4875426451
1456946,2,-7.16363401674,15.588085,110.83295589,48.8303853858,21.301852,21.021852,0.677124,1.328441,130.219785029,-34.7847834044,1568,95.1401002477,-23.8813965631,93.806749101,-24.5161765043
1456966,2,-9.68493479421,15.655384,108.825999325,51.7515534085,21.359891,21.079891,0.677124,1.273348,130.203513028,-35.7627077691,1568,95.1401002477,-23.8813965631,96.7663888732,-24.1662711788
1456973,2,-10.538641909,15.678507,99.1639828429,51.9170236197,21.370887,21.090887,0.677124,1.270461,124.120706596,-36.0840797964,1234,98.5356773248,-31.8503800566,98.3296111278,-31.0976854012
1457008,2,-15.4748452013,15.816191,97.0674729747,57.8465065458,21.444315,21.164315,0.677124,1.181163,124.118758539,-37.3908819356,1234,98.5356773248,-31.8503800566,98.1205095858,-32.0717709487
1458283,2,9.32763831317,31.346284,141.728158006,46.178450231,20.983901,20.881486,0.553319,1.386006,122.226680013,-33.0615555398,1464,97.0530344383,-26.341505448,97.6021029998,-26.3144045443
1458284,2,9.19282134398,31.350201,140.610947602,49.0626051802,21.030636,20.928247,0.553319,1.32376,119.72634949,-33.1213723336,1447,94.0409380135,-26.9236878637,94.718120472,-27.6207483172
1458285,2,9.05800437478,31.354118,139.494252859,51.9536929186,21.073873,20.971509,0.553319,1.269824,117.207741615,-33.1812464232,1431,90.9908544869,-27.4389488088,91.7039026153,-28.6998570286
1458313,2,5.02850679319,31.471771,142.691013581,50.6284988343,21.06867,20.967078,0.553319,1.293582,122.17024367,-34.8069568711,1464,97.0530344383,-26.341505448,97.6903963956,-26.9588101765
1458316,2,4.53106483545,31.486376,141.803158182,53.8427920649,21.115173,21.013678,0.553319,1.238545,119.660402048,-34.9662964339,1447,94.0409380135,-26.9236878637,95.2532861119,-25.977448065
1458317,2,4.39762296497,31.490297,140.68061927,56.790889104,21.153084,21.051614,0.553319,1.195207,117.137668876,-35.0310406648,1431,90.9908544869,-27.4389488088,92.2656902852,-26.3989731149
1468902,2,26.821472193,62.043239,196.412166706,72.4738898723,20.556819,20.608935,0.509616,1.048681,79.1395089735,-32.700019171,1413,87.901867126,-27.8835640578,88.732296334,-28.5057389276
1468933,2,30.8099459965,61.883934,201.547358241,68.0174814376,20.513683,20.565374,0.509616,1.078403,79.2158842476,-30.7846212619,1413,87.901867126,-27.8835640578,89.2265608497,-27.6087734993
