obshistid,expmjd,filter,rotskypos,start_run,end_run,altitude,rawseeing,airmass,moonalt,moonphase,dist2moon,sunalt,cputime,hostname,cputime_fell,runlimit,vskybright,filtskybrightness
 965305,61000.05078,0,104.2686920,57449.516,57449.734,50.39593506, 0.7096580, 1.2979161,-12.28908539, 0.8062400, 125.7267075,-21.08140945, 17973.72,0,  17973.72,0,21.366798,22.026798
 966042,61001.05078,0, 99.8608704,57449.516,57449.684,51.39437103, 0.7302720, 1.2796620, -3.01788330, 3.1755490, 120.4870071,-21.00136757, 11004.48,3,  18817.66,0,21.365885,21.958845
 969046,61006.06250,2,111.1417770,57449.516,57450.961,59.85346222, 0.5726030, 1.1564140, 37.40233994,38.0062485,  82.7318954,-23.14531708,120179.04,0, 120179.04,0,20.955837,20.897129
 969056,61006.07031,1,111.1417770,57449.516,57451.070,61.57651901, 0.5726030, 1.1370720, 35.70735931,38.0610237,  82.7028503,-24.35116386,115696.86,3, 197841.63,0,20.973234,21.103971
 969076,61006.07812,3,111.1417770,57449.516,57450.551,64.59973145, 0.5726030, 1.1070130, 32.73640060,38.1571045,  82.6504211,-26.38207054, 83717.05,0,  83717.05,0,21.002245,19.964525
 969102,61006.08984,4,111.1417770,57449.516,57450.750,68.40370941, 0.5726030, 1.0755010, 29.00381088,38.2780571,  82.5813828,-28.77187729, 92221.16,0,  92221.16,0,21.036404,19.179478
 969122,61006.10156,5,111.1417770,57449.516,57450.793,71.42560577, 0.5726030, 1.0549530, 26.04224968,38.3743057,  82.5239716,-30.52724838,109721.79,0, 109721.79,0,21.062098,17.299999
 970470,61009.05469,2,102.6999283,57449.516,57454.516,59.91545868, 0.4961280, 1.1556890, 52.97424698,69.3381042,  59.3210716,-20.80604553,412693.75,0, 331058.50,1,19.984083,20.055651
 970480,61009.06250,1,102.6999283,57449.516,57454.516,61.63851166, 0.4961280, 1.1364070, 51.97644043,69.3953781,  59.3076057,-22.05400467,395836.47,0, 732259.06,1,19.999649,19.958532
 970500,61009.07031,3,102.6999283,57449.516,57452.977,64.66178131, 0.4961280, 1.1064450, 50.07754135,69.4957428,  59.2833138,-24.16552544,277171.34,0, 277171.34,0,20.025070,19.182045
 970526,61009.08203,4,102.6999283,57449.516,57452.309,68.46582031, 0.4961280, 1.0750411, 47.45431137,69.6218872,  59.2512856,-26.67015457,194213.64,0, 194213.64,0,20.053890,18.430864
 970546,61009.09375,5,102.6999283,57449.516,57451.648,71.48754120, 0.4961280, 1.0545700, 45.21123886,69.7221222,  59.2244110,-28.52831268,158556.12,0, 158556.12,0,20.074509,17.299999
 975423,61016.06250,2,118.6554337,57449.516,57450.133,67.30363464, 0.7374020, 1.0839390, -5.77352381,93.0950623,  75.7169418,-20.70159531, 52758.92,0,  52758.92,0,20.444187,20.681684
 975433,61016.06641,1,118.6554337,57449.516,57450.203,69.02852631, 0.7374020, 1.0709420, -4.32680559,93.0619431,  75.7726974,-21.92050552, 43217.78,0,  43217.78,0,20.309244,20.052910
 975453,61016.07422,3,118.6554337,57449.516,57450.051,72.04927063, 0.7374020, 1.0511700, -1.81965661,93.0037308,  75.8684921,-23.97868538, 45299.91,0,  45299.91,0,20.113695,19.535254
 975479,61016.08984,4,118.6554337,57449.516,57451.320,75.83463287, 0.7374020, 1.0313610,  1.27643538,92.9301987,  75.9855499,-26.41203690,137568.83,3, 235242.70,0,19.998457,18.704130
 975499,61016.09766,5,118.6554337,57449.516,57450.836,78.81842041, 0.7374020, 1.0193510,  3.68749905,92.8714905,  76.0757904,-28.21043587, 97377.19,3, 166514.99,0,19.986357,17.299999
 976802,61019.06250,2,106.7709122,57449.516,57449.898,70.43954468, 0.8427950, 1.0612470,-32.32444382,67.6952515, 102.8228912,-20.68864632, 30469.67,3,  52103.14,0,21.535271,21.255270
 976812,61019.06641,1,106.7709122,57449.516,57450.086,72.16179657, 0.8427950, 1.0505040,-30.65954399,67.6399384, 102.8843155,-21.89758682, 43396.59,0,  43396.59,0,21.544065,21.954065
 976832,61019.07812,3,106.7709122,57449.516,57450.359,75.17292023, 0.8427950, 1.0344450,-27.73831940,67.5429306, 102.9903107,-23.93766022, 53503.14,0,  53503.14,0,21.557428,20.197428
 976858,61019.08984,4,106.7709122,57449.516,57450.473,78.92888641, 0.8427950, 1.0189641,-24.06268120,67.4208603, 103.1203156,-26.34677696, 73765.70,0,  73765.70,0,21.570562,19.420563
 976878,61019.10156,5,106.7709122,57449.516,57451.000,81.85510254, 0.8427950, 1.0101900,-21.14179802,67.3237686, 103.2209854,-28.12483597,112878.16,0, 112878.16,0,21.578119,17.299999
 978936,61022.06641,2, 97.1406403,57449.516,57449.871,73.58296204, 0.4927930, 1.0425040,-45.73251724,37.6876411, 123.8519897,-20.72342491, 29876.51,3,  51088.83,0,21.550690,21.270689
 978946,61022.07031,1, 97.1406403,57449.516,57450.020,75.29851532, 0.4927930, 1.0338480,-44.48856735,37.6354256, 123.8992615,-21.92342758, 42011.91,0,  42011.91,0,21.557930,21.967930
 978966,61022.07812,3, 97.1406403,57449.516,57449.871,78.28809357, 0.4927930, 1.0212630,-42.21713638,37.5439339, 123.9809647,-23.94711494, 29913.61,3,  51152.27,0,21.568596,20.208595
 978992,61022.09375,4, 97.1406403,57449.516,57450.367,81.97530365, 0.4927930, 1.0098890,-39.21758652,37.4289513, 124.0814056,-26.33422852, 70749.32,0,  70749.32,0,21.578379,19.428379
 979012,61022.10156,5, 97.1406403,57451.320,57452.195,84.73667908, 0.4927930, 1.0042350,-36.73599243,37.3376083, 124.1593781,-28.09366798, 62185.23,3, 106336.75,0,21.583296,17.299999
 981006,61025.06641,0,114.1076279,57449.516,57449.719,76.36714172, 0.4678000, 1.0289921,-41.35145187,13.4744205, 131.5786743,-20.55560493, 16574.94,0,  16574.94,0,21.562025,22.222027
 981715,61026.06641,0, 94.6611633,57449.516,57449.668,77.38745880, 0.5796910, 1.0247279,-36.68419647, 7.7769222, 130.1423187,-20.57880974, 10446.78,3,  17863.99,0,21.565641,22.225641
